manufacturer,model,product_name,family,product_class,subcategory,role,approval_status,source_tier,transport_type,input_count,output_count,max_resolution,chroma,technology,topology,directionality,inputs_json,outputs_json,control_json,audio_json,features_json,specs_json,summary,known_limitations,closest_wyrestorm_architecture,closest_wyrestorm_sku_or_family,confidence,evidence_source,last_reviewed,reviewer,notes,aliases_json,routed_input_count,routed_output_count,physical_output_count,mirrored_output_count,io_evidence_status,matrix_size_evidence,quote_safety
Atlona,AT-OCS-900N,Network Enabled Occupancy Sensor,Velocity,Control,,controller,review,structured-catalog,,,,,,Control,controller,bidirectional,"[{""type"":""LAN"",""count"":1}]",[],"[""TCP/IP"",""Web UI""]",[],"[""Occupancy sensor"",""Room automation"",""Velocity"",""Network-enabled"",""Room control"",""Scheduling"",""Automation"",""Occupancy-aware control""]",{},Network-enabled occupancy sensor for Velocity room automation and occupancy-aware control.,,,,high,https://atlona.com/product/at-ocs-900n/,2026-07-05,Claude research pass,"Official Atlona Velocity product page and education guide. | data/product-intelligence-db.json#67 merged into deployed competitor catalog. | data/product-intelligence-db.json#1 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | Velocity is Atlona's room control, scheduling, and automation platform across gateways, keypads, sensors, and touch panels. | Treat Velocity products as control-plane devices, not as AV switching or distribution endpoints. | Official competitor family guidance applied during canonical sync. | Verified against official Atlona AT-OCS-900N product page: Velocity-integrated network occupancy sensor.",[],,,,,,,
Atlona,AT-OME-CS31-SA,Omega CS31-SA,Omega,Switcher,Presentation Switcher,presentation switcher,approved,curated-fingerprint,Local,3,1,4K60,,PRESENTATION,collaboration switcher,bidirectional,"[{""type"":""HDMI"",""count"":1},{""type"":""USB Host"",""count"":1},{""type"":""USB-C"",""count"":1}]","[{""type"":""HDBaseT"",""count"":1},{""type"":""HDMI"",""count"":1},{""type"":""USB Device"",""count"":1}]","[""TCP/IP"",""RS-232"",""USB"",""Web UI""]","[""Embedded Audio"",""De-Embedded Audio"",""USB Audio""]","{""usbC"":true}","{""video"":{""maxResolution"":""4K60 4:4:4"",""hdmi"":""2.0"",""bandwidthGbps"":18,""hdr"":true},""distance"":{""meters"":100}}","Collaboration switcher with USB-C and HDMI inputs, local HDMI plus HDBaseT outputs, USB routing, and BYOD-friendly room integration.",,,,high,https://atlona.com/product/at-ome-cs31-sa/,2026-06-28,Wingman curated fingerprint migration,"Official Atlona Omega collaboration-switcher page. | data/product-intelligence-db.json#1 merged into deployed competitor catalog. | data/product-intelligence-db.json#2 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | Atlona Omega is a presentation and collaboration switching family built around HDMI, USB-C, HDBaseT, and USB room workflows. | Compare Omega switchers against presentation switchers and collaboration appliances, not plain HDMI matrices or wall processors. | Official competitor family guidance applied during canonical sync.","[""atomecs31sa"",""atomecs31"",""atomecs51""]",,,,,,,
Atlona,AT-OME-EX-KIT,AT-OME-EX-KIT,,HDBASET,,transmitter,review,curated-fingerprint,,,,4K60,,HDBASET,,,[],[],[],[],"{""hdbtOutput"":true,""receiverKit"":true,""usbRouting"":true}",{},,,,,medium,,2026-06-28,Wingman curated fingerprint migration,,"[""atomeexkit""]",,,,,,,
Atlona,AT-OME-MS42,Presentation switcher,Omega,Switcher,Presentation Switcher,presentation switcher,approved,curated-fingerprint,Local,4,2,4K60,,PRESENTATION,collaboration switcher,bidirectional,"[{""type"":""HDMI"",""count"":2},{""type"":""USB-C"",""count"":1},{""type"":""Wireless Presentation"",""count"":1}]","[{""type"":""HDMI"",""count"":2},{""type"":""USB Device"",""count"":1}]","[""TCP/IP"",""RS-232"",""USB"",""Web UI""]","[""Embedded Audio"",""De-Embedded Audio"",""USB Audio""]","{""usbC"":true,""usbRouting"":true}","{""video"":{""maxResolution"":""4K60 4:4:4"",""hdmi"":""2.0"",""bandwidthGbps"":18,""hdr"":true}}","Four-input presentation switcher with wireless presentation, USB-C connectivity, dual HDMI outputs, and integrated USB hub support for small meeting spaces.",,Apollo,Apollo presentation switcher direction,high,https://atlona.com/product/at-ome-ms42/,2026-06-28,Wingman curated fingerprint migration,"competitor-compare.seed.json#12 merged into deployed competitor catalog. | Official Atlona Omega presentation-switcher page. | competitor-compare.seed.json#3 merged into deployed competitor catalog. | data/product-intelligence-db.json#2 merged into deployed competitor catalog. | data/product-intelligence-db.json#3 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | Atlona Omega is a presentation and collaboration switching family built around HDMI, USB-C, HDBaseT, and USB room workflows. | Compare Omega switchers against presentation switchers and collaboration appliances, not plain HDMI matrices or wall processors. | Official competitor family guidance applied during canonical sync. | Apollo is the strongest Wingman family for this meeting-space switching use case. | Confirm room UC type | Check expected number of inputs | Review USB peripheral needs","[""atomems42"",""atomems52"",""atomems63""]",,,,,,,
Atlona,AT-OME-MS52W,Omega 5x2 Matrix Switcher,Omega,Switcher,Presentation Switcher,presentation-switcher,review,structured-catalog,Local,5,2,4K60 4:4:4,,Presentation Switching,collaboration switcher,bidirectional,"[{""type"":""DisplayPort"",""count"":1},{""type"":""HDMI"",""count"":2},{""type"":""USB Host"",""count"":1},{""type"":""USB-C"",""count"":1},{""type"":""Wireless Presentation"",""count"":1}]","[{""type"":""HDBaseT"",""count"":1},{""type"":""HDMI"",""count"":2},{""type"":""USB Device"",""count"":1}]","[""TCP/IP"",""RS-232"",""USB"",""Web UI""]","[""Embedded Audio"",""De-Embedded Audio"",""USB Audio""]","[""Wireless presentation"",""USB-C"",""Auto switching"",""BYOD"",""Dual HDMI outputs"",""HDBaseT mirrored output"",""USB host switching"",""Presentation switching"",""USB-C collaboration"",""HDBaseT room extension""]","{""video"":{""maxResolution"":""4K60 4:4:4"",""hdmi"":""2.0"",""bandwidthGbps"":18,""hdr"":true},""distance"":{""meters"":100},""matrixInputs"":5,""matrixOutputs"":2,""routedInputCount"":5,""routedOutputCount"":2}","Five-input presentation switcher with two HDMI outputs, HDBaseT output, USB-C, DisplayPort, wireless presentation, and USB host integration.",,,,high,https://atlona.com/product/at-ome-ms52w/,2026-07-05,Claude research pass,"Official Atlona Omega matrix-switcher page. | data/product-intelligence-db.json#3 merged into deployed competitor catalog. | data/product-intelligence-db.json#4 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | Atlona Omega is a presentation and collaboration switching family built around HDMI, USB-C, HDBaseT, and USB room workflows. | Compare Omega switchers against presentation switchers and collaboration appliances, not plain HDMI matrices or wall processors. | Official competitor family guidance applied during canonical sync. | Verified against official Atlona AT-OME-MS52W product page: 5-input Omega presentation switcher, USB-C/DisplayPort/wireless, dual HDMI + HDBaseT out.",[],5,2,3,1,derived,Title evidence: 5x2 Matrix,comparison-only-verify
Atlona,AT-OME-PS62,Omega PS62,Omega,Switcher,Presentation Switcher,presentation switcher,approved,curated-fingerprint,Local,6,2,4K60,,PRESENTATION,collaboration switcher,bidirectional,"[{""type"":""AV Input"",""count"":6}]","[{""type"":""HDBaseT"",""count"":1},{""type"":""HDMI"",""count"":1}]","[""TCP/IP"",""RS-232"",""Web UI"",""USB""]","[""Embedded Audio"",""De-Embedded Audio"",""USB Audio""]","{""usbC"":true}","{""video"":{""maxResolution"":""4K60 4:4:4"",""hdmi"":""2.0"",""bandwidthGbps"":18,""hdr"":true},""distance"":{""meters"":100}}","6x2 matrix presentation switcher with USB hub, HDBaseT output, second output for display distribution, and lecture-hall collaboration routing.",,,,high,https://atlona.com/product/at-ome-ps62/,2026-06-28,Wingman curated fingerprint migration,"Official Atlona AV Solutions for Business / Education brochure and product page. | data/product-intelligence-db.json#57 merged into deployed competitor catalog. | data/product-intelligence-db.json#5 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | Atlona Omega is a presentation and collaboration switching family built around HDMI, USB-C, HDBaseT, and USB room workflows. | Compare Omega switchers against presentation switchers and collaboration appliances, not plain HDMI matrices or wall processors. | Official competitor family guidance applied during canonical sync.","[""atomeps62""]",,,,,,,
Atlona,AT-OME-SW32,Omega SW32,Omega,Switcher,Presentation Switcher,presentation-switcher,review,structured-catalog,Local,3,2,4K60 4:4:4,,Presentation Switching,collaboration switcher,bidirectional,"[{""type"":""HDMI"",""count"":2},{""type"":""USB-C"",""count"":1}]","[{""type"":""HDMI"",""count"":2}]","[""TCP/IP"",""RS-232"",""Web UI"",""USB""]","[""Embedded Audio"",""De-Embedded Audio""]","[""Matrix switcher"",""USB-C"",""Dual HDMI outputs"",""Auto switching"",""BYOD"",""Presentation switching"",""USB-C collaboration"",""HDBaseT room extension"",""USB host switching""]","{""video"":{""maxResolution"":""4K60 4:4:4"",""hdmi"":""2.0"",""bandwidthGbps"":18,""hdr"":true},""matrixInputs"":3,""matrixOutputs"":2,""routedInputCount"":3,""routedOutputCount"":2}",3-input matrix switcher with HDMI and USB-C sources and dual HDMI outputs for classroom and meeting-room collaboration.,,,,high,https://atlona.com/product/at-ome-sw32/,2026-07-05,Claude research pass,"Official Atlona education brochure and product page. | data/product-intelligence-db.json#58 merged into deployed competitor catalog. | data/product-intelligence-db.json#6 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | Atlona Omega is a presentation and collaboration switching family built around HDMI, USB-C, HDBaseT, and USB room workflows. | Compare Omega switchers against presentation switchers and collaboration appliances, not plain HDMI matrices or wall processors. | Official competitor family guidance applied during canonical sync. | Verified against official Atlona AT-OME-SW32 product page: 3-input Omega matrix switcher, HDMI/USB-C, dual HDMI outputs.",[],3,2,,,derived,Summary evidence: 3-input matrix switcher with dual HDMI outputs,comparison-only-verify
Atlona,AT-OME-TX11-WP,Omega TX11-WP,Omega,Extender,,tx,review,structured-catalog,HDBaseT,,,4K60 4:2:0,,HDBaseT,1:1 extender,tx,"[{""type"":""HDMI"",""count"":1}]","[{""type"":""HDBaseT"",""count"":1}]","[""RS-232"",""TCP/IP"",""Web UI""]","[""Embedded Audio""]","[""Wallplate transmitter"",""HDBaseT"",""BYOD podium feed"",""Automatic input selection"",""USB hub"",""Wall plate extender"",""Source-side room extension""]","{""video"":{""maxResolution"":""4K60 4:2:0"",""hdmi"":""2.0"",""bandwidthGbps"":18,""hdr"":true},""distance"":{""meters"":100}}",Wallplate HDBaseT transmitter with HDMI input for BYOD podium feeds and 100 m category-cable extension.,,,,high,https://atlona.com/product/at-ome-tx11-wp/,2026-07-05,Claude research pass,"Official Atlona education and business brochure plus product page. | data/product-intelligence-db.json#59 merged into deployed competitor catalog. | data/product-intelligence-db.json#7 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | Atlona Omega TX products are source-side presentation extenders for HDMI or USB-C signals into Omega room systems. | Treat Omega TX products as room-edge extenders or transmitters, not as standalone matrix switchers. | Official competitor family guidance applied during canonical sync. | Verified against official Atlona AT-OME-TX11-WP product page: HDBaseT wallplate transmitter, 100m extension, BYOD podium use.",[],,,,,,,
Atlona,AT-OMNI-111,OmniStream Networked AV Encoder,OmniStream,AVoIP,,Encoder,approved,curated-fingerprint,AVoIP,1,1,4K60,,AVOIP,endpoint,tx,"[{""type"":""HDMI"",""count"":1}]","[{""type"":""LAN"",""count"":1}]","[""TCP/IP"",""RS-232"",""IR"",""Web GUI"",""Web UI""]","[""Embedded Audio""]","[""AVoIP encoder"",""VCx codec"",""Gigabit Ethernet"",""Multiview"",""Video wall"",""PoE"",""Ultra-low latency"",""Fast switching"",""Managed AVoIP"",""RS-232 / IR pass-through"",""4K distribution""]","{""video"":{""maxResolution"":""4K60 4:4:4"",""hdmi"":""2.0"",""bandwidthGbps"":18,""hdr"":true},""distance"":{""meters"":100}}","Single-channel networked AV encoder for managed Gigabit distribution with 4K60 4:4:4 VCx compression, multiview, and video-wall workflows.",,,,high,https://atlona.com/product/at-omni-111/,2026-06-28,Wingman curated fingerprint migration,"Official Atlona OmniStream education brochure and product page. | data/product-intelligence-db.json#60 merged into deployed competitor catalog. | data/product-intelligence-db.json#8 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | OmniStream 111 and 112 are networked AV encoders for Atlona's managed AVoIP platform. | Compare OmniStream encoders against AVoIP encoders and distributed AV systems, not against wall processors. | Official competitor family guidance applied during canonical sync.","[""atomni111"",""atomni141"",""atomni232""]",,,,,,,
Atlona,AT-OMNI-112,OmniStream Dual-Channel Networked AV Encoder,OmniStream,AVoIP,,Encoder,approved,curated-fingerprint,AVoIP,2,1,4K60,,AVOIP,endpoint,tx,"[{""type"":""HDMI"",""count"":2}]","[{""type"":""LAN"",""count"":1}]","[""TCP/IP"",""RS-232"",""IR"",""Web GUI"",""Web UI""]","[""Embedded Audio""]","[""AVoIP encoder"",""Dual-channel encoding"",""VCx codec"",""Ultra-low latency"",""Fast switching"",""HDR"",""IR pass-through"",""RS-232 pass-through"",""Managed AVoIP"",""RS-232 / IR pass-through"",""4K distribution""]","{""video"":{""maxResolution"":""4K60 4:4:4"",""hdmi"":""2.0"",""bandwidthGbps"":18,""hdr"":true},""distance"":{""meters"":100}}",Dual-channel AV over IP encoder for two HDMI sources up to 4K60 4:4:4 and HDR with embedded audio and RS-232 or IR pass-through over Gigabit Ethernet.,Curated legacy role said decoder; official Atlona product evidence identifies AT-OMNI-112 as a dual-channel encoder.,,,high,https://atlona.com/product/at-omni-112/,2026-06-28,Wingman curated fingerprint migration,"Official Atlona OmniStream dual-channel encoder page. | data/product-intelligence-db.json#4 merged into deployed competitor catalog. | data/product-intelligence-db.json#9 merged into deployed competitor catalog. | Canonical competitor record rebuilt from structured compare catalog. | OmniStream 111 and 112 are networked AV encoders for Atlona's managed AVoIP platform. | Compare OmniStream encoders against AVoIP encoders and distributed AV systems, not against wall processors. | Official competitor family guidance applied during canonical sync.","[""atomni112"",""atomni142""]",,,,,,,
